attackName,attackID,attackType,category,power,accuracy,maxPP,effect,probability
Absorb,1,Grass,Special,20,100,25,User recovers half the HP inflicted on opponent.,
Accelerock,2,Rock,Physical,40,100,20,User attacks first.,
Acid,3,Poison,Special,40,100,30,May lower opponent's Special Defense.,10
AcidArmor,4,Poison,Status,,,20,Sharply raises user's Defense.,
AcidSpray,5,Poison,Special,40,100,20,Sharply lowers opponent's Special Defense.,100
Acrobatics,6,Flying,Physical,55,100,15,Stronger when the user does not have a held item.,
Acupressure,7,Normal,Status,,,30,Sharply raises a random stat.,
AerialAce,8,Flying,Physical,60,,20,Ignores Accuracy and Evasiveness.,
Aeroblast,9,Flying,Special,100,95,5,High critical hit ratio.,
AfterYou,10,Normal,Status,,,15,Gives target priority in the next turn.,
Agility,11,Psychic,Status,,,30,Sharply raises user's Speed.,
AirCutter,12,Flying,Special,60,95,25,High critical hit ratio.,
AirSlash,13,Flying,Special,75,95,15,May cause flinching.,30
AllySwitch,14,Psychic,Status,,,15,User switches with opposite teammate.,
Amnesia,15,Psychic,Status,,,20,Sharply raises user's Special Defense.,
AnchorShot,16,Steel,Physical,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,
AncientPower,17,Rock,Special,60,100,5,May raise all user's stats at once.,10
AppleAcid,18,Grass,Special,80,100,10,Lowers target's Special Defense.,100
AquaCutter,19,Water,Physical,70,100,20,High critical hit ratio.,
AquaJet,20,Water,Physical,40,100,20,User attacks first.,
AquaRing,21,Water,Status,,,20,Restores a little HP each turn.,
AquaStep,22,Water,Physical,80,100,10,Raises user's Speed.,100
AquaTail,23,Water,Physical,90,90,10,,
ArmThrust,24,Fighting,Physical,15,100,20,Hits 2-5 times in one turn.,
ArmorCannon,25,Fire,Special,120,100,5,Lowers user's Defense and Special Defense.,
Aromatherapy,26,Grass,Status,,,5,Cures all status problems in your party.,
AromaticMist,27,Fairy,Status,,,20,Raises Special Defense of an ally.,
Assist,28,Normal,Status,,,20,User performs a move known by its allies at random.,
Assurance,29,Dark,Physical,60,100,10,Power doubles if opponent already took damage in the same turn.,
Astonish,30,Ghost,Physical,30,100,15,May cause flinching.,30
AstralBarrage,31,Ghost,Special,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,
AttackOrder,32,Bug,Physical,90,100,15,High critical hit ratio.,
Attract,33,Normal,Status,,100,15,"If opponent is the opposite gender, it's less likely to attack.",
AuraSphere,34,Fighting,Special,80,,20,Ignores Accuracy and Evasiveness.,
AuraWheel,35,Electric,Physical,110,100,10,Changes type based on Morpeko's Mode.,100
AuroraBeam,36,Ice,Special,65,100,20,May lower opponent's Attack.,10
AuroraVeil,37,Ice,Status,,,20,Halves damage from Physical and Special attacks for five turns.,
Autotomize,38,Steel,Status,,,15,Reduces weight and sharply raises Speed.,
Avalanche,39,Ice,Physical,60,100,10,Power doubles if user took damage first.,
AxeKick,40,Fighting,Physical,120,90,10,"May confuse opponent. If it misses, the user loses HP.",
