name,dexID,type1,type2,Ability 1,Ability 2,Hidden,weight (in lbs),baseStatTotal,baseHP,baseAtk,baseDef,baseSpAtk,baseSpDef,baseSpeed,gen9Legal,mostRecentUsageTier
Bulbasaur,1,Grass,Poison,Overgrow,,Chlorophyll,15.2,318,45,49,49,65,65,45,FALSE,PU
Ivysaur,2,Grass,Poison,Overgrow,,Chlorophyll,28.7,405,60,62,63,80,80,60,FALSE,PU
Venusaur,3,Grass,Poison,Overgrow,,Chlorophyll,220.5,525,80,82,83,100,100,80,FALSE,UU
MegaVenusaur,3.1,Grass,Poison,Thick Fat,,,342.8,625,80,100,123,122,120,80,FALSE,OU
Charmander,4,Fire,,Blaze,,Solar Power,18.7,309,39,52,43,60,50,65,TRUE,PU
Charmeleon,5,Fire,,Blaze,,Solar Power,41.9,405,58,64,58,80,65,80,TRUE,PU
Charizard,6,Fire,Flying,Blaze,,Solar Power,199.5,534,78,84,78,109,85,100,TRUE,RU
MegaCharizardX,6.1,Fire,Dragon,Tough Claws,,,243.6,634,78,130,111,130,85,100,FALSE,OU
MegaCharizardY,6.2,Fire,Flying,Drought,,,221.6,634,78,104,78,159,115,100,FALSE,OU
Squirtle,7,Water,,Torrent,,Rain Dish,19.8,314,44,48,65,50,64,43,FALSE,PU
Wartortle,8,Water,,Torrent,,Rain Dish,49.6,405,59,63,80,65,80,58,FALSE,PU
Blastoise,9,Water,,Torrent,,Rain Dish,188.5,530,79,83,100,85,105,78,FALSE,RU
MegaBlastoise,9.1,Water,,Mega Launcher,,,222.9,630,79,103,120,135,115,78,FALSE,RU
Caterpie,10,Bug,,Shield Dust,,Run Away,6.4,195,45,30,35,20,20,45,FALSE,PU
Metapod,11,Bug,,Shed Skin,,,21.8,205,50,20,55,25,25,30,FALSE,PU
Butterfree,12,Bug,Flying,Compound Eyes,,Tinted Lens,70.5,395,60,45,50,90,80,70,FALSE,PU
Weedle,13,Bug,Poison,Shield Dust,,Run Away,7.1,195,40,35,30,20,20,50,FALSE,PU
Kakuna,14,Bug,Poison,Shed Skin,,,22,205,45,25,50,25,25,35,FALSE,PU
Beedrill,15,Bug,Poison,Swarm,,Sniper,65,395,65,90,40,45,80,75,FALSE,PU
MegaBeedrill,15.1,Bug,Poison,Adaptability,,,89.3,495,65,150,40,15,80,145,FALSE,UU
Pidgey,16,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,4,251,40,45,40,35,35,56,FALSE,PU
